@relation '123d-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute commit_id numeric
@attribute commit_hour numeric
@attribute changed_LOC numeric
@attribute CountLineCodeDecl numeric
@attribute Delta_CountLineCodeExe numeric
@attribute Delta_CountStmt numeric
@attribute Delta_CountDeclClassVariable numeric
@attribute s16 numeric
@attribute s24 numeric
@attribute s56 numeric
@attribute s61 numeric
@attribute s62 numeric
@attribute s113 numeric
@attribute s137 numeric
@attribute s487 numeric
@attribute s578 numeric
@attribute s668 numeric
@attribute s726 numeric
@attribute s863 numeric
@attribute s913 numeric
@attribute s914 numeric
@attribute s952 numeric
@attribute s1023 numeric
@attribute s1054 numeric
@attribute s1125 numeric
@attribute s1131 numeric
@attribute s1145 numeric
@attribute s1165 numeric
@attribute s1473 numeric
@attribute s1484 numeric
@attribute s1884 numeric
@attribute s2221 numeric
@attribute s2276 numeric
@attribute s2337 numeric
@attribute s2420 numeric
@attribute s2426 numeric
@attribute s2555 numeric
@attribute s2606 numeric
@attribute s2789 numeric
@attribute s3917 numeric
@attribute s4015 numeric
@attribute s4256 numeric
@attribute s4329 numeric
@attribute s4634 numeric
@attribute s5843 numeric
@attribute bug_introducing {0,1}

@data
860,12,119,20,0,0,0,2,0,121,0,0,0,16,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
860,12,40,7,0,0,0,2,0,121,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,12,43,14,0,0,0,2,0,121,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
860,12,93,24,0,0,0,2,0,121,0,0,0,0,0,0,0,2,4,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
860,12,14,213,0,0,0,3,0,12,0,0,0,12,0,0,0,48,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,12,8,102,0,0,0,2,0,12,0,0,0,15,1,0,0,6,9,0,1,4,2,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,12,60,201,0,0,0,3,0,12,0,0,0,70,0,0,0,5,57,0,11,7,52,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
861,15,7,104,-3,-2,0,1,0,13,1,1,0,13,1,0,0,15,13,0,1,0,3,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
861,15,10,30,0,0,0,1,0,111,1,1,0,2,0,0,0,0,2,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
861,15,2,20,0,0,0,1,0,111,1,1,0,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
861,15,7,6,0,0,0,1,0,111,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
861,15,4,14,0,0,0,1,0,111,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
861,15,45,13,0,0,0,2,0,121,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
861,15,6,101,-3,-1,0,2,0,13,1,1,0,15,1,0,0,6,9,0,1,4,2,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,15,3,54,0,1,0,5,0,11,0,0,0,26,0,0,0,9,1,0,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,15,8,104,0,0,0,1,0,12,0,0,0,13,1,0,0,15,13,0,1,0,3,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,15,8,41,0,0,0,1,0,14,0,0,0,3,0,0,0,3,6,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
862,15,10,12,0,0,0,2,0,12,0,0,0,0,0,0,0,3,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,15,2,13,0,0,0,1,0,111,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
862,15,9,62,0,0,0,1,0,14,0,0,0,11,0,0,0,1,7,2,1,7,6,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
862,15,8,101,0,0,0,2,0,12,0,0,0,15,1,0,0,6,11,0,1,4,2,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863,17,3,84,1,1,0,1,0,1,0,0,0,21,0,0,0,25,15,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863,17,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863,17,10,20,3,2,0,1,0,11,0,0,0,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
863,17,9,7,2,3,0,1,0,11,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
658,17,25,71,0,0,0,3,0,0,0,0,0,20,0,0,0,47,9,0,1,9,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
658,17,208,81,0,0,0,1,0,0,0,0,0,45,0,0,0,71,20,0,7,32,22,0,0,18,16,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
658,17,71,12,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
864,16,7,105,1,2,0,1,0,2,0,0,0,13,1,0,0,15,15,0,1,0,3,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,16,19,46,0,0,0,1,0,6,0,0,0,1,0,0,0,4,6,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,16,4,41,0,0,0,1,0,2,0,0,0,3,0,0,0,3,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,16,19,33,0,0,0,1,0,6,0,0,0,1,0,0,0,3,3,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,16,25,23,-3,-10,0,1,0,11,0,0,0,2,0,0,0,0,4,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,16,14,20,-3,-3,0,1,0,11,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,16,9,8,2,2,0,1,0,11,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,16,62,18,0,0,0,2,0,21,0,0,0,0,0,0,0,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,16,64,18,0,0,0,2,0,21,0,0,0,2,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,16,12,7,0,-7,0,1,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,16,18,8,0,0,0,1,0,11,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
864,16,21,7,-4,-8,0,1,0,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,16,71,19,0,0,0,2,0,21,0,0,0,4,0,0,0,2,6,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,16,4,64,1,1,0,1,0,4,0,0,0,11,0,0,0,1,7,2,1,7,6,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,16,2,201,-1,-1,0,3,0,1,0,0,0,66,0,0,0,5,54,0,11,7,52,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
865,17,2,41,0,0,0,11,0,3,0,0,0,3,0,0,0,3,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
865,17,9,15,-3,-5,0,11,0,11,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
865,17,31,25,10,15,0,11,0,11,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
865,17,3,7,0,0,0,11,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
865,17,5,63,0,-1,0,11,0,3,0,0,0,11,0,0,0,1,7,2,1,7,6,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,23,10,54,0,0,0,5,0,1,0,0,0,26,0,0,0,9,1,0,1,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
867,23,14,105,0,0,0,1,0,1,0,0,0,13,1,0,0,15,16,0,1,0,3,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
867,23,14,84,0,0,0,1,0,1,0,0,0,21,0,0,0,29,15,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
867,23,10,46,0,0,0,1,0,3,0,0,0,1,0,0,0,4,6,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
867,23,12,41,0,0,0,1,0,2,0,0,0,3,0,0,0,3,7,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,23,10,33,0,0,0,1,0,3,0,0,0,1,0,0,0,3,3,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
867,23,8,12,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,23,33,26,3,6,0,1,0,1,0,0,0,2,0,0,0,0,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1
867,23,33,21,5,5,0,1,0,1,0,0,0,13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1
867,23,18,7,-1,-2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
867,23,6,15,0,0,0,1,0,1,0,0,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,23,9,17,0,0,0,1,0,1,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,23,72,8,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
867,23,4,8,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,23,60,24,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0
867,23,2,24,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,23,4,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,23,8,19,0,0,0,1,0,1,0,0,0,2,0,0,0,1,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,23,31,0,0,-7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,23,61,0,-14,-22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,23,16,213,0,0,0,3,0,1,0,0,0,12,0,0,0,51,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
867,23,8,63,0,0,0,1,0,2,0,0,0,11,0,0,0,1,7,2,1,7,6,0,0,1,4,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
867,23,10,101,0,0,0,2,0,1,0,0,0,15,1,0,0,6,12,0,1,4,2,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,23,44,201,0,0,0,3,0,1,0,0,0,70,0,0,0,5,56,0,11,7,52,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
868,0,111,8,0,0,0,4,0,0,1,0,0,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
869,0,44,10,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
869,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,0,5,8,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,0,34,7,-9,-15,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
870,0,5,66,1,3,0,1,0,0,0,0,0,11,0,0,0,1,7,2,1,7,6,0,0,1,4,2,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
871,0,4,84,0,0,0,1,0,0,0,0,0,21,0,0,0,25,15,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871,0,53,20,-6,-5,0,1,0,0,2,0,0,9,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1
871,0,69,9,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1
871,0,45,0,-9,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871,0,4,213,0,0,0,3,0,0,0,0,0,12,0,0,0,45,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,0,8,15,0,0,0,1,0,0,0,0,1,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,0,16,19,0,2,0,1,0,0,0,0,1,1,0,0,0,1,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,0,7,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,0,12,19,0,0,0,1,0,0,0,0,1,2,0,0,0,1,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873,1,6,104,-1,-2,0,1,0,0,0,0,0,13,1,0,0,15,14,0,1,0,3,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873,1,2,46,0,0,0,1,0,0,0,0,0,1,0,0,0,4,8,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
873,1,2,33,0,0,0,1,0,0,0,0,0,1,0,0,0,3,5,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
501,8,20,203,15,12,1,3,0,0,1,0,0,70,0,0,0,5,55,0,11,7,52,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
502,8,2,203,0,0,0,3,0,0,0,0,0,70,0,0,0,5,55,0,11,7,52,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
503,12,2,203,0,0,0,3,0,0,0,0,0,70,0,0,0,5,55,0,11,7,52,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
504,12,6,28,0,0,0,1,0,0,0,0,0,16,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
659,16,241,63,0,0,0,6,0,0,0,0,0,32,0,0,0,64,12,0,2,26,14,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,1
660,17,334,113,50,62,4,1,0,0,1,0,0,59,0,2,6,100,25,0,6,33,26,0,0,14,23,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
661,17,502,80,0,0,0,5,0,0,0,0,0,4,0,0,0,18,14,0,1,28,38,0,3,4,32,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
661,17,350,115,0,0,0,5,1,0,0,0,0,6,0,0,0,14,16,0,1,26,18,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
661,17,78,33,0,0,0,0,0,0,0,0,0,9,0,0,0,4,4,0,0,5,7,0,0,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
661,17,8,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,17,10,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
661,17,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,17,30,58,-13,-9,0,1,0,0,0,0,0,11,0,0,0,3,9,2,1,7,6,0,0,3,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,17,2,50,0,0,0,1,0,0,0,0,0,2,0,0,0,0,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
661,17,2,23,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,17,2,52,0,0,0,0,0,0,0,0,0,10,10,0,0,5,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,17,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,17,408,68,0,0,0,2,0,0,0,0,1,25,0,0,0,9,8,2,1,14,7,0,0,3,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
661,17,295,96,0,0,0,2,1,0,0,0,0,18,0,0,0,6,8,0,2,14,10,0,2,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
661,17,28,105,8,9,0,2,0,0,0,0,0,18,1,0,0,6,11,0,1,4,4,0,0,0,13,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
661,17,6,19,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4,0,1,4,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,17,252,0,-100,-142,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,17,3,139,0,0,0,4,0,0,0,0,0,9,0,0,0,11,19,0,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,17,37,26,0,0,0,1,0,0,0,0,0,13,0,0,0,0,6,0,1,8,4,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,17,2,202,-9,-6,0,3,0,0,0,0,0,66,0,0,0,5,55,0,11,7,52,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,17,9,13,-2,-2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
662,14,63,13,0,0,0,2,0,0,1,0,0,0,0,0,0,6,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663,17,49,5,0,0,0,2,0,0,1,0,0,4,0,0,0,6,0,0,2,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663,17,22,85,1,1,0,2,0,0,1,0,0,1,0,0,0,7,3,0,1,10,22,0,6,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663,17,75,129,13,16,0,1,1,0,1,0,0,10,0,0,0,8,11,0,1,10,13,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
663,17,27,5,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663,17,6,33,2,0,0,0,0,0,1,0,0,9,0,0,0,4,2,0,0,5,7,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663,17,97,105,31,28,0,1,1,0,1,0,0,21,0,0,0,5,6,0,1,19,5,0,1,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
663,17,2,105,0,0,0,2,0,0,1,0,0,18,1,0,0,6,9,0,1,4,4,0,0,0,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663,17,17,64,4,4,0,3,0,0,1,0,0,18,0,0,0,32,6,0,1,13,7,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1
663,17,12,113,0,0,0,1,0,0,1,0,0,29,0,1,3,45,16,0,2,17,19,0,0,7,11,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
663,17,21,15,7,7,0,1,0,0,1,0,0,4,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
